time,hat{D_{q}},theta,e_{theta},tau_{q}
12.4,-0.399490381314329,0.349615640631944,-0.000549790233078,20.4866468906403
12.5,-0.342165791277593,0.349986499076918,-0.000920648678052,16.3051947951317
12.6,-0.221568660995004,0.350546668553856,-0.00148081815499,19.1254124045372
12.7,-0.216041461286938,0.350778184558367,-0.001712334159501,25.6180912256241
12.8,-0.19464816242588,0.351025797093593,-0.001959946694727,26.07561647892
12.9,-0.172569376125083,0.351232530032283,-0.002166679633417,27.7813017368317
13,-0.202008302769608,0.351328999269291,-0.002263148870425,26.087498664856
13.1,-0.217012606585425,0.351304331088089,-0.002238480689223,28.062492609024
13.2,-0.258631121038413,0.351216514545951,-0.002150664147086,28.9286196231842
13.3,-0.234960856681672,0.350995114749288,-0.001929264350422,26.8334239721298
13.4,-0.280447806710845,0.350620122618857,-0.001554272219991,27.3464143276215
13.5,-0.337693071087494,0.350219694792862,-0.001153844393996,31.9470643997192
13.6,-0.501784302358091,0.35000658093913,-0.000940730540264,24.4982033967972
13.7,-0.549889521046525,0.349619594232842,-0.000553743833976,23.5124841332436
13.8,-0.580848538237606,0.349057408613742,8.44178512365845E-06,27.3000836372375
13.9,-0.698148309373014,0.348653223913056,0.00041262648581,26.493626832962
14,-0.752711862503614,0.348399079839971,0.000666770558895,28.9226531982422
14.1,-0.850270098045566,0.348054872336838,0.001010978062027,36.6011679172516
14.2,-0.883837810794007,0.347712372550198,0.001353477848668,38.7603789567947
14.3,-0.938330199128774,0.347510074870753,0.001555775528113,36.3019198179245
14.4,-0.997812192568312,0.347432783332654,0.001633067066212,37.9251271486282
14.5,-0.980564674570216,0.347242155546956,0.00182369485191,49.7941792011261
14.6,-0.9519264485385,0.34696209302395,0.002103757374916,51.6814231872559
14.7,-1.03574454198468,0.346732364973376,0.00233348542549,56.5514266490936
14.8,-1.07935094211087,0.346564595253132,0.002501255145734,57.6508164405823
14.9,-0.962278976971361,0.346427128586979,0.002638721811886,56.9487750530243
15,-0.873986563104621,0.346369178368488,0.002696672030377,53.3181250095367
15.1,-0.763182175003675,0.346379235807297,0.002686614591568,55.7026088237762
15.2,-0.581528046011753,0.346413308827433,0.002652541571433,57.0991635322571
15.3,-0.411040905418879,0.346440687866788,0.002625162532078,53.7105917930603
15.4,-0.204449709861321,0.346465299035103,0.002600551363763,55.2442491054535
15.5,-0.028916141334063,0.346497435952139,0.002568414446727,53.9133250713348
15.6,0.202482110951879,0.346600702823804,0.002465147575062,48.8296121358871
15.7,0.504352591395671,0.346747915749975,0.002317934648891,41.5437877178192
15.8,0.841386160825281,0.346706105176912,0.002359745221954,36.7778360843658
15.9,1.19829733284617,0.346703826081101,0.002362024317765,41.5522873401642
16,1.50245266728146,0.346693482048259,0.002372368350607,39.5292043685913
16.1,1.90195002613469,0.346609602920998,0.002456247477868,39.4823342561722
16.2,2.18898182088382,0.346525531205401,0.002540319193464,40.12071788311
16.3,2.59099991805335,0.346507515083885,0.002558335314981,35.6712639331818
16.4,2.95564369286147,0.34649780718285,0.002568043216016,38.7755155563354
16.5,3.32592421320892,0.346421482429731,0.002644367969135,37.0754271745682
16.6,3.63750620889462,0.34630869019802,0.002757160200846,42.0544028282166
16.7,3.97248328825513,0.346305533106511,0.002760317292355,42.1139270067215
16.8,4.25853470463934,0.346280838494264,0.002785011904602,36.4433735609055
16.9,4.60450707850239,0.34621503341052,0.002850816988346,50.3598868846893
17,4.8025088312764,0.346360649909,0.002705200489866,52.622652053833
17.1,4.99538481322568,0.346468869898656,0.00259698050021,53.5536825656891
17.2,5.14283728523486,0.346511217059513,0.002554633339353,57.1006536483765
17.3,5.22922112147908,0.346623921718257,0.002441928680609,50.258469581604
17.4,5.2892054500516,0.346857019496994,0.002208830901871,49.6705263853073
17.5,5.26973077341398,0.347200462998341,0.001865387400525,49.4664072990418
17.6,5.20921911610904,0.347586068274376,0.00147978212449,42.8390055894852
17.7,5.05663895941651,0.347908588220777,0.001157262178089,49.2765575647354
17.8,4.9178745888979,0.348297528153683,0.000768322245183,46.7508554458618
17.9,4.72371529769488,0.348727664822427,0.000338185576438,41.837677359581
18,4.38782246456934,0.349120275322547,-5.44249236811289E-05,37.7869725227356
18.1,4.05000677123223,0.349562931576818,-0.000497081177952,38.9432996511459
18.2,3.61926734114814,0.349935812281601,-0.000869961882735,31.7705899477005
18.3,3.10666510460852,0.350161026587428,-0.001095176188562,21.6875031590462
18.4,2.67212077049075,0.350448801036094,-0.001382950637228,14.5305424928665
18.5,2.16793307860079,0.350793131722618,-0.001727281323752,9.65066999197006
18.6,1.56224532444177,0.351072715819956,-0.00200686542109,5.14376014471054
18.7,1.02690369139579,0.351198361263826,-0.00213251086496,10.8969159424305
18.8,0.376585386022025,0.351277173857576,-0.00221132345871,6.57142177224159
18.9,-0.286753910358315,0.351318535040967,-0.002252684642101,7.70003795623779
19,-0.953819317054898,0.351270552785959,-0.002204702387093,15.8272042870522
19.1,-1.61202762784715,0.351117748365857,-0.002051897966991,9.41967070102692
19.2,-2.2245184844013,0.350851079085438,-0.001785228686573,18.8332229852676
19.3,-2.89065111785406,0.35058166814726,-0.001515817748394,13.7475162744522
19.4,-3.5012097324535,0.350205086769911,-0.001139236371045,23.1679737567902
19.5,-4.10260021031503,0.349725266145689,-0.000659415746823,21.0329711437225
19.6,-4.63262635191363,0.349122160011169,-5.63096123034623E-05,30.7170927524567
19.7,-5.07500305693386,0.348665283861825,0.000400566537041,43.5054421424866
19.8,-5.6310416807637,0.348129250051543,0.000936600347322,47.2161740064621
19.9,-6.05108405400284,0.347555932770488,0.001509917628377,49.6084868907928
20,-6.38150456780988,0.346877681141085,-0.085078293341936,53.448224067688
20.1,-5.1291821317377,0.325288253910215,-0.063488866111066,-82.255744934082
20.2,-6.51356692308415,0.291490113859927,-0.029690726060777,-12.3160593211651
20.3,-7.03977370322528,0.269116767567128,-0.007317379767979,47.7853626012802
20.4,-7.33325859301958,0.260607403670881,0.001191984128268,59.827733039856
20.5,-7.26072042004127,0.258280588456223,0.003518799342927,62.2901082038879
20.6,-7.18861178156974,0.257704291783048,0.004095096016101,59.4656348228455
20.7,-7.03745109392819,0.257458616543072,0.004340771256077,64.0937209129334
20.8,-6.84640402286675,0.257308152037888,0.004491235761262,63.2072448730469
20.9,-6.56647426226882,0.257362597650424,0.004436790148725,54.0971398353577
21,-6.29842931746938,0.257452518825569,0.00434686897358,51.7120778560638
21.1,-5.87786358548945,0.25762200574337,0.004177382055779,46.5244323015213
21.2,-5.4201904478199,0.257918890704108,0.003880497095041,43.8685297966003
21.3,-4.92980715446199,0.258337376251766,0.003462011547383,41.5487170219421
21.4,-4.45832657701317,0.25884818437413,0.002951203425019,37.5589787960052
21.5,-3.90701427523806,0.259394055494013,0.002405332305136,37.9183113574982
21.6,-3.2537781985373,0.259947034707594,0.001852353091556,35.5844348669052
21.7,-2.68641780361612,0.26042349030823,0.001375897490919,34.875750541687
21.8,-2.08962349864084,0.260854399548118,0.000944988251031,28.8344383239746
21.9,-1.45208551963886,0.261343243269669,0.000456144529481,26.0503828525543
22,-0.885273850681099,0.261867578803647,-6.81910044977308E-05,21.1803391575813
22.1,-0.139863099969863,0.262284679239623,-0.000485291440473,27.2267431020737
22.2,0.370028904185477,0.262870011048347,-0.001070623249197,27.6094734668732
22.3,0.954994945796352,0.263320723516546,-0.001521335717396,26.6637086868286
22.4,1.51573374138322,0.263896944427595,-0.002097556628446,25.8175224065781
22.5,1.94283112290437,0.264337007013097,-0.002537619213947,23.5925614833832
22.6,2.39754806901167,0.264655913148517,-0.002856525349367,22.3172202706337
22.7,2.80677169231686,0.264848335820503,-0.003048948021354,26.0057777166367
22.8,3.19582373537969,0.265019846484648,-0.003220458685499,21.5091943740845
22.9,3.51534643642322,0.265170519241687,-0.003371131442538,19.5096611976624
