time,desired_D_u,hat{D_{u}},desired_D_v,hat{D_{v}},desired_D_w,hat{D_{w}},desired_D_q,hat{D_{q}},desired_D_r,hat{D_{r}},desired_x,x,desired_y,y,desired_z,z,l_{d}-l,beta,alpha,tau_{u},tau_{q},tau_{r}
28.6,-6.3028447386861,-6.33342279268301,-2.03266255916383,-2.02966946818296,-0.611542356485669,-0.615561716385198,-2.35844233285703,-2.04882367329913,-2.83379689064506,-3.01490105746104,-9.12112203913816,-8.64119617775389,-4.09940638960668,-4.96634114734022,-12.150000000003,-11.9806496806058,0.005278188996388,-0.000540716505091,0.002175768367413,26.8388153441051,3.23261364178973,-4.00196932198689
28.7,-6.17396993228114,-6.25488969719417,-2.17617140960387,-2.17485493144107,-0.710772434149485,-0.712712873252854,-2.7989995807125,-2.29860529217914,-2.59256440124363,-2.78873883235724,-9.1815847221025,-8.71361608664385,-3.96213351502116,-4.8362150991799,-12.175000000003,-12.0061448974444,0.005746143516637,-6.8704389916426E-05,0.002419289905594,21.4677995744944,9.04284700665668,-5.54466403972833
28.8,-6.01341888124251,-6.17903554440993,-2.31054874471426,-2.30398557157415,-0.807149626467655,-0.799054714225478,-3.23514552264233,-2.83728263583298,-2.30014443724389,-2.55304947346046,-9.23998158723888,-8.78430810929992,-3.82396917710988,-4.70458287357059,-12.2000000000031,-12.031752335003,0.005696812001091,-0.000629114096493,0.000881850177888,-6.01851111649019,42.7252920648109,-17.747948320214
28.9,-5.82334049521735,-6.04770926791482,-2.43469934075801,-2.43602237600145,-0.899559274005705,-0.887529540089114,-3.66058848902784,-3.18546017495821,-1.96194660372649,-2.2486476176751,-9.29629949549901,-8.85316353238618,-3.684944462266,-4.57197658747931,-12.2250000000031,-12.0572572721232,0.005650583314577,-0.002169774776627,-0.000856681169582,29.4214367683535,39.8276033052606,-16.0737143880355
29,-5.6061400015213,-5.91977715392979,-2.54758992289108,-2.54882679976423,-0.986937625959894,-0.977101610714366,-4.06899139727333,-3.60952945697793,-1.58468291948558,-1.9116047175621,-9.35052577559112,-8.9203626512431,-3.54509065046385,-4.43833038372273,-12.2500000000031,-12.0825680548767,0.00546058643293,-0.004121862587479,-0.002960006989028,-7.080433965722,30.8920416449357,1.78878189642181
29.1,-5.36444146338817,-5.53832838443895,-2.64825817654578,-2.64233863924955,-1.06828093797039,-1.0591939501375,-4.45407427329093,-4.23528128393036,-1.17622108685492,-1.42667007601716,-9.40264822683094,-8.98560041802849,-3.40443920822108,-4.30431151627595,-12.2750000000031,-12.1075072280631,0.005859271609649,-0.005862749671792,-0.004636653827532,34.0997774353423,43.6903970790659,-20.2403812392905
29.2,-5.10104774701125,-5.17449564866349,-2.73582119189653,-2.73097644123081,-1.14265398062966,-1.13402821732615,-4.80971704259541,-4.37312408292011,-0.7454056153277,-1.1938291089021,-9.45265512188685,-9.04897867626648,-3.26302178151883,-4.16965075951491,-12.3000000000032,-12.1321675488495,0.006527947029372,-0.007133110768458,-0.006869170986276,20.371544729989,18.8772110542031,-20.6549061043776
29.3,-4.81889857190331,-4.9336793583087,-2.8094832688293,-2.80550047038222,-1.20919788917762,-1.200024539327,-5.13006088344216,-4.60369356577135,-0.301851156828879,-0.678850340792928,-9.50053520941842,-9.11058687916756,-3.1208701886815,-4.03412601084252,-12.3250000000032,-12.1566911502856,0.007186063182803,-0.007633498518389,-0.008691125043274,30.8928104799441,41.4863921016905,6.17156736845711
29.4,-4.52102730266986,-4.61108204826414,-2.86854301535357,-2.87454846997421,-1.26713729063645,-1.26442870482715,-5.40960645113554,-4.96998238549781,0.144286848472365,-0.328429981052487,-9.54627771660795,-9.17049703998943,-2.9780164132178,-3.89752215661232,-12.3500000000032,-12.1812410605507,0.007562161209192,-0.007219415747762,-0.010119441557366,11.854131193009,25.5594606994207,-40.9446453611259
29.5,-4.21051715356906,-4.49691547435009,-2.91239967847877,-2.91978199944401,-1.31578665091539,-1.3242225951415,-5.64330732753525,-5.293713849957,0.582558504704809,0.167935864139349,-9.58987235158429,-9.2285843731267,-2.83449259662453,-3.75989364163937,-12.3750000000033,-12.2058994146689,0.007715786049304,-0.006923470561075,-0.011521201316182,23.2178284076997,16.4388667465997,-41.5688750902899
