time,hat{D_{v}},hat{D_{r}},psi,e_{psi},tau_{r}
17.2,-6.01462778192576,2.80962885586063,2.09946221009219,-0.005067107698997,-8.76946450439731
17.3,-5.80759057683216,2.65226770458504,2.09947219211823,-0.005077089725033,-5.7572878551273
17.4,-5.57154756048888,2.54756157543425,2.09943934186946,-0.005044239476264,-6.18929212238555
17.5,-5.32453651613976,2.42369907135421,2.09950060916879,-0.005105506775595,-5.78573296005184
17.6,-5.05089452233752,2.28968712708011,2.09949363931694,-0.005098536923744,3.81680090704903
17.7,-4.76353115838944,2.2011676439023,2.09915422689325,-0.004759124500056,-5.34605696880579
17.8,-4.44991826498549,1.99472960443161,2.09891393904614,-0.00451883665294,-3.05364616573713
17.9,-4.13039864977229,1.86273877465262,2.09911393822748,-0.004718835834286,-8.50314994298949
18,-3.80070809125219,1.70888727075938,2.0993650845286,-0.004969982135403,-7.2282006359804
18.1,-3.45670983565916,1.52941151213123,2.09928270004959,-0.004887597656395,1.66132645059155
18.2,-3.10800617028101,1.22129939797278,2.09916125901887,-0.004766156625671,-6.538687500385
18.3,-2.75077240523906,0.934753401793591,2.09879673196072,-0.004401629567524,-0.404702986247889
18.4,-2.39101578391989,0.5006208138486,2.09850522044845,-0.004110118055258,5.62011831831731
18.5,-2.02944167106646,0.186415847593743,2.09829387658695,-0.003898774193755,5.99509208256583
18.6,-1.67236516389065,-0.27510011202538,2.09782667656353,-0.003431574170332,-1.86776584380424
18.7,-1.31255658630587,-0.776554996915086,2.09732615159979,-0.002931049206593,-3.51314062362172
18.8,-0.960320200839706,-1.18725101964024,2.09697863423519,-0.002583531841995,10.6795857431128
18.9,-0.613946113611712,-1.78368391708059,2.09722947152921,-0.002834369136018,6.07160816208048
19,-0.282147541918009,-2.39532654057259,2.0976065583387,-0.0032114559455,0.872532547218747
19.1,0.044934545053482,-3.00030555067146,2.09785560029206,-0.003460497898866,-1.3766598379842
19.2,0.357612937542586,-3.66955164770698,2.09806774422676,-0.003672641833563,7.64746990005588
19.3,0.657478844463013,-4.26073422295538,2.09805120563764,-0.003656103244445,1.66347114009348
19.4,0.94234267796068,-4.89201339326977,2.09788765625659,-0.003492553863391,3.22708653651355
19.5,1.21238329503097,-5.48419307915112,2.097700566293,-0.003305463899806,7.33821418134113
19.6,1.46497653202864,-6.10465777812121,2.09751970168908,-0.003124599295889,7.9825620889437
19.7,1.69643985299259,-6.62967426908322,2.09745264997884,-0.003057547585646,1.60079648924179
19.8,1.91205149427148,-7.19190137994059,2.09715583140238,-0.002760729009185,10.9067396314121
