time,desired D_u,hat{D_{u}},desire_u,u,e_{u},tau_{u}
25.2,2.37635301205923,2.4167601771308,2,2.00446055726617,-0.004460557266169,18.4803540997552
25.3,2.21303165598697,2.25492848425376,2,2.004370047396,-0.004370047396001,18.827210530944
25.4,2.02268777982021,2.07370948159288,2,2.0043648144746,-0.0043648144746,17.9469527665417
25.5,1.80518076164139,1.8564017551469,2,2.00433487531098,-0.00433487531098,19.5793924791289
25.6,1.56078012598729,1.62550829428243,2,2.00434243148844,-0.00434243148844,19.1113737962861
25.7,1.29016705835006,1.34259560208893,2,2.00432315631093,-0.004323156310927,18.7501033296051
25.8,0.994429596856671,1.06106028320247,2,2.00414709240459,-0.004147092404593,19.7613798045928
25.9,0.67505160890589,0.754118554220857,2,2.00402247721501,-0.004022477215013,20.0336748436826
26,0.333895753874823,0.422340494095737,2,2.00411126983627,-0.004111269836266,19.9248732510215
26.1,-0.026819277440436,0.069373915777151,2,2.00413616760088,-0.00413616760088,20.3641473549748
26.2,-0.404546871529939,-0.302981712501591,2,2.00410900143203,-0.004109001432032,20.2815422197991
26.3,-0.796445495771873,-0.702269674113984,2,2.00429094398489,-0.004290943984892,22.0689970262563
26.4,-1.19941607300662,-1.10471515722121,2,2.0041391508464,-0.004139150846401,21.6018494851097
26.5,-1.61014314094155,-1.49955030810864,2,2.0039807908137,-0.003980790813702,22.0861839903596
26.6,-2.02513915736058,-1.91786824659509,2,2.00405257175011,-0.004052571750115,22.5907856126229
26.7,-2.44079126928581,-2.34471604414757,2,2.00420907655481,-0.004209076554815,22.9345177132684
26.8,-2.85340983204002,-2.74848456119662,2,2.00399440987758,-0.003994409877585,22.7157589290059
26.9,-3.2592779429942,-3.15432894012789,2,2.00416634611613,-0.004166346116131,23.8109354951129
27,-3.65470124489307,-3.57180309025496,2,2.00408882029817,-0.004088820298166,24.5230994793579
27.1,-4.03605725509697,-3.94890278908308,2,2.00403207595081,-0.004032075950809,24.6971738371521
27.2,-4.3998434897598,-4.31728171846674,2,2.00431531627508,-0.00431531627508,25.0935162856321
27.3,-4.74272367560363,-4.67098806582325,2,2.00429680504035,-0.004296805040352,25.1632407733046
27.4,-5.06157137611616,-4.99524356751168,2,2.00429418203805,-0.004294182038051,25.9324494185897
27.5,-5.35351040309485,-5.29528930122882,2,2.00439164562243,-0.004391645622433,25.7302679055455
27.6,-5.61595143775303,-5.56286610181056,2,2.00444130886936,-0.004441308869362,26.0078985195848
27.7,-5.84662434721611,-5.79525722280951,2,2.00435460748664,-0.004354607486643,26.3394881607673
27.8,-6.04360575117862,-6.00659465738947,2,2.00436567741917,-0.004365677419167,26.9603765601795
27.9,-6.20534146866787,-6.1644539605244,2,2.00423415812613,-0.004234158126134,26.8769741426571
28,-6.33066355508391,-6.31002345730434,2,2.00440179906631,-0.004401799066309,27.0235107247985
