time,hat{D_{w}},theta,e_{theta},tau_{q}
21.9,-1.75473208347538,0.25319414478438,0.00860524301477,67.1756565570831
22,-2.05627268956768,0.253706699414306,0.008092688384844,62.351781129837
22.1,-2.34325524561514,0.254899174498488,0.006900213300661,51.3684630393982
22.2,-2.61246587254296,0.256331692389856,0.005467695409294,47.3648488521576
22.3,-2.87035035415484,0.257807783459239,0.003991604339911,37.8990203142166
22.4,-3.10803557837671,0.259536000012396,0.002263387786753,33.5382848978043
22.5,-3.32551725234818,0.261207606311738,0.000591781487412,32.1149051189423
22.6,-3.52356096283651,0.262531293719866,-0.000731905920717,19.4378972053528
22.7,-3.70231093256379,0.263334234502691,-0.001534846703541,19.4354206323624
22.8,-3.8578603228717,0.263632266281073,-0.001832878481924,19.7309389710426
22.9,-3.99401859162813,0.263405403287485,-0.001606015488336,21.2309688329697
23,-4.10754659030622,0.26276705956414,-0.000967671764991,19.9480652809143
23.1,-4.19992450119482,0.261787448282191,1.19395169582148E-05,24.3388906121254
23.2,-4.27189630075553,0.260927893503699,0.00087149429545,26.0569274425507
23.3,-4.30395462403913,0.26018254952599,0.001616838273159,34.4125181436539
23.4,-4.33127889594751,0.259611201191009,0.00218818660814,30.7463586330414
23.5,-4.34721644256225,0.259472770828139,0.00232661697101,32.4142336845398
23.6,-4.321202276954,0.259810417255155,0.001988970543995,34.0115636587143
23.7,-4.27361450487278,0.260703551062462,0.001095836736688,25.4856258630753
23.8,-4.20613705221352,0.261763573482327,3.58143168226466E-05,19.8036462068558
23.9,-4.12175216247578,0.263035222687727,-0.001235834888577,17.1113863587379
24,-4.02138235325619,0.264430485298243,-0.002631097499093,0.532525777816772
24.1,-3.90529850953226,0.265708702010329,-0.00390931421118,9.51105281710625
24.2,-3.77506379765601,0.266644810548638,-0.004845422749489,0.163399800658226
24.3,-3.63435795048744,0.2669580970371,-0.00515870923795,4.73210290074348
24.4,-3.47921995721536,0.266792167866105,-0.004992780066956,1.85519456863403
24.5,-3.3020985260719,0.265960782163058,-0.004161394363909,15.6814485788345
24.6,-3.12236259172884,0.264537255203617,-0.002737867404468,19.8570162057877
24.7,-2.93467258659878,0.262769810235328,-0.000970422436179,21.9493061304092
24.8,-2.74195620883539,0.260575861703109,0.001223526096041,35.1211607456207
24.9,-2.54165335256424,0.258213211614942,0.003586176184208,45.4950481653214
25,-2.34113972808165,0.256183153385651,0.005616234413498,59.6715450286865
25.1,-2.13433181032379,0.254574864764203,0.007224523034946,59.4338715076447
25.2,-1.92809676559554,0.253167830510122,0.008631557289028,67.532753944397
25.3,-1.72482610705797,0.252113029795109,0.00968635800404,72.9249119758606
25.4,-1.52319773972354,0.251691863086349,0.0101075247128,76.6442835330963
25.5,-1.32582743520724,0.251986312001544,0.009813075797605,70.0065135955811
25.6,-1.13428892632325,0.253059624978917,0.008739762820233,63.9549434185028
25.7,-0.948148658026169,0.254842841091564,0.006956546707585,54.5585155487061
25.8,-0.770558207914487,0.257238119186496,0.004561268612653,48.7464487552643
25.9,-0.597656979216029,0.259821606839862,0.001977780959288,32.7120095491409
26,-0.438580819616175,0.26193216808008,-0.000132780280931,21.8958646059036
26.1,-0.292431807792459,0.263735759339278,-0.001936371540128,13.0262479186058
26.2,-0.16040326471662,0.265390999864878,-0.003591612065729,5.20350597798824
26.3,-0.039742283883528,0.267022748797772,-0.005223360998623,-4.42932620644569
26.4,0.069365974246165,0.268465805741715,-0.006666417942566,-9.25214812159538
26.5,0.168796978181094,0.269502623963721,-0.007703236164571,-12.9752844572067
26.6,0.238823430639363,0.26997548645719,-0.008176098658041,-15.6673729419708
26.7,0.310111424537449,0.26985055110058,-0.008051163301431,-13.406477868557
26.8,0.368864825526133,0.269247623589176,-0.007448235790027,-9.58167240023613
26.9,0.406607392825705,0.268282114303316,-0.006482726504166,-5.37516959011555
27,0.420673242359213,0.266907986247045,-0.005108598447895,2.87845674902201
27.1,0.419575772634298,0.265193982249848,-0.003394594450699,10.5558425188065
27.2,0.408210372716235,0.263302840978288,-0.001503453179138,21.0396304726601
27.3,0.394516861271667,0.261595762650854,0.000203625148295,33.8884800672531
27.4,0.374281166796997,0.259962785795728,0.001836602003421,41.7484909296036
27.5,0.339113835108196,0.258394512944197,0.003404874854952,48.6272871494293
27.6,0.2828997552426,0.256820795717257,0.004978592081892,56.6611886024475
27.7,0.213128192212834,0.255119153967925,0.006680233831225,65.2217626571655
27.8,0.133117042273936,0.253572451702799,0.00822693609635,70.44757604599
27.9,0.050900609914159,0.252434893451698,0.009364494347452,75.2064943313599
28,-0.03345351659336,0.251819964913221,0.009979422885928,74.3840336799622
28.1,-0.123166169100951,0.251755150907871,0.010044236891279,75.3672778606415
28.2,-0.213900240834995,0.252356889638537,0.009442498160613,71.4151263237
28.3,-0.309725368107676,0.253670303074678,0.008129084724472,62.9195213317871
28.4,-0.407877823802402,0.255679296952764,0.006120090846385,59.8036468029022
28.5,-0.505815250216194,0.258135908378218,0.003663479420931,45.9674745798111
28.6,-0.601281964722756,0.260374685197631,0.001424702601519,33.3691447973251
28.7,-0.702990401880587,0.262491938330389,-0.000692550531239,15.9718304872513
28.8,-0.803566487055487,0.264441586424078,-0.002642198624929,10.9318152070045
28.9,-0.901046395008326,0.266219014478883,-0.004419626679734,-0.838019605726004
29,-0.992234567678741,0.26788635741326,-0.006086969614111,-8.16376805305481
29.1,-1.07542912264166,0.269436650070532,-0.007637262271383,-13.301008939743
29.2,-1.14785614712572,0.270483935286105,-0.008684547486955,-17.8131744265556
29.3,-1.20113704484404,0.270939267751719,-0.009139879952569,-17.6451697945595
29.4,-1.25141427283951,0.270542103329069,-0.00874271552992,-12.0874263346195
29.5,-1.30467012828173,0.269549586301729,-0.007750198502579,-9.68997403979301
29.6,-1.35253193792162,0.267988708838624,-0.006189321039474,2.62829232960939
29.7,-1.38923088517359,0.265994440303692,-0.004195052504542,5.30275888741016
29.8,-1.40792338774389,0.263865201826051,-0.002065814026901,21.0233181715012
29.9,-1.40421828709011,0.261934787114694,-0.000135399315544,31.6493093967438
