time,hat{D_{u}},u,e_{u},tau_{u}
25.7,1.3562623345345,2.00425226539376,-0.004252265393756,19.4530393994361
25.8,1.06859371735219,2.00423087934886,-0.004230879348858,19.5907993547761
25.9,0.750383316811907,2.00431608699949,-0.004316086999486,20.3257862932116
26,0.408230712267815,2.00413419774698,-0.004134197746977,20.0367912746935
26.1,0.055237914297824,2.00413874951683,-0.004138749516829,20.6445417750142
26.2,-0.315304376699971,2.00410504818242,-0.004105048182416,20.5104487916017
26.3,-0.703735986541319,2.00427593679233,-0.004275936792333,21.0479292662845
26.4,-1.09333268143802,2.00422879423269,-0.004228794232691,21.9263242814746
26.5,-1.51546019095672,2.00414750759099,-0.004147507590995,22.053481815045
26.6,-1.9377737676776,2.0039379944648,-0.003937994464799,22.6247637903369
26.7,-2.32420468396747,2.00404516096069,-0.004045160960694,22.8556861884078
26.8,-2.76664892307027,2.00423346457489,-0.004233464574888,23.71947864166
26.9,-3.16086634405927,2.00414616564557,-0.004146165645573,24.2398820758708
27,-3.5638561296756,2.00425213352286,-0.004252133522861,24.2435684252078
27.1,-3.9500067260409,2.00412934575293,-0.004129345752931,24.9354357149745
27.2,-4.32097678861971,2.00415624822826,-0.004156248228263,25.0798202105557
27.3,-4.65721820523851,2.00400540206977,-0.004005402069773,25.1200455897104
27.4,-4.9892098737813,2.00401502305953,-0.00401502305953,26.124695046053
27.5,-5.29936299792873,2.00427681907289,-0.004276819072891,25.8137245582734
27.6,-5.56362595637421,2.0041955365926,-0.004195536592603,25.6657841451941
27.7,-5.79673542515786,2.00409173930795,-0.004091739307949,26.2247373058036
27.8,-5.99270917494716,2.0041528175957,-0.0041528175957,26.0979519041342
27.9,-6.17107287932034,2.00431096415688,-0.00431096415688,27.3798881559431
28,-6.30841569996984,2.00430993269443,-0.004309932694432,27.1656470189205
28.1,-6.41637909064538,2.00433375357448,-0.004333753574481,26.9045816625143
28.2,-6.4547773072211,2.00439797400531,-0.004397974005308,27.0642485091178
28.3,-6.47462674901629,2.0045417985913,-0.004541798591298,26.7509213976636
28.4,-6.45842046542511,2.00468634553418,-0.004686345534178,27.0510459045921
28.5,-6.4183772921558,2.00461083079996,-0.00461083079996,26.949046683311
28.6,-6.3259731727191,2.00461959606742,-0.004619596067423,27.1043192344256
28.7,-6.20752595058927,2.00456346055025,-0.00456346055025,27.6861356913234
28.8,-6.05216247075296,2.00476731018869,-0.004767310188695,27.2448457502673
28.9,-5.86620392638708,2.00474607018929,-0.004746070189289,25.9367776139405
29,-5.64874322984417,2.00474296392398,-0.004742963923981,26.0459771928569
29.1,-5.42459203690039,2.00463162350732,-0.004631623507323,25.3220887371873
29.2,-5.1564602583597,2.00468818695235,-0.004688186952348,25.4647670715997
29.3,-4.87777870650766,2.00465094045437,-0.004650940454369,25.3513915514517
29.4,-4.60190691909626,2.00475677903384,-0.004756779033839,25.2973742123587
29.5,-4.27959626978176,2.00488595735556,-0.004885957355556,24.9789855486705
29.6,-3.9715009182547,2.00474438826985,-0.004744388269848,23.8797055929755
29.7,-3.64166673129806,2.00475560734244,-0.004755607342442,24.6661561340691
29.8,-3.31821798668698,2.00501646957183,-0.005016469571829,23.9665439663966
29.9,-2.98667186767591,2.00489462463693,-0.004894624636927,23.8407679823114
